IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1650630,15,5,11,2024,10,SAN ESTEBAN,5,5304,VALPARAÍSO,SAN ESTEBAN,-32.811852,-70.585846,Leve,0,Mañana,2.148
1650632,13,3,11,2024,1,PUREN,9,9208,LA ARAUCANÍA,PURÉN,-38.018297,-73.04576,Sin lesionados,0,Madrugada,3.43
1650635,14,4,11,2024,21,PENCAHUE,7,7107,MAULE,PENCAHUE,-35.056171,-71.490538,Sin lesionados,0,Noche,18.615
1650637,27,7,10,2024,13,PENCO,8,8107,BIOBÍO,PENCO,-36.785178,-73.022355,Grave,1,Tarde,3.262
1650650,15,5,11,2024,16,TALTAL,2,2104,ANTOFAGASTA,TALTAL,-25.647093,-70.36384,Leve,0,Tarde,29.065
1650681,12,2,11,2024,5,IQUIQUE,1,1101,TARAPACÁ,IQUIQUE,-21.330151,-70.074792,Leve,0,Madrugada,85.2
1650684,13,3,11,2024,10,TOME,8,8111,BIOBÍO,TOMÉ,-36.66241,-72.958081,Sin lesionados,0,Mañana,5.467
1650686,9,6,11,2024,2,MULCHEN,8,8305,BIOBÍO,MULCHÉN,-37.618758,-72.279215,Leve,1,Madrugada,11.759
1650694,16,6,11,2024,15,QUELLON,10,10208,LOS LAGOS,QUELLÓN,-43.058089,-73.631985,Fatal,1,Tarde,5.846
1650695,16,6,11,2024,17,CASABLANCA,5,5102,VALPARAÍSO,CASABLANCA,-33.327113,-71.379106,Sin lesionados,1,Tarde,2.837
1650700,9,6,11,2024,8,MULCHEN,8,8305,BIOBÍO,MULCHÉN,-37.814856,-72.342753,Sin lesionados,1,Mañana,13.848
1650702,14,4,11,2024,23,PICHIDEGUA,6,6113,LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,-34.386293,-71.320922,Fatal,0,Noche,4.585
1650705,15,5,11,2024,1,SAN VICENTE,6,6117,LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,-34.433605,-71.106469,Leve,0,Madrugada,2.493
1650706,11,1,11,2024,9,LOS ALAMOS,8,8206,BIOBÍO,LOS ALAMOS,-37.662304,-73.391179,Sin lesionados,0,Mañana,13.335
1650707,16,6,11,2024,7,PUCHUNCAVI,5,5105,VALPARAÍSO,PUCHUNCAVÍ,-32.769238,-71.47989,Fatal,1,Mañana,4.872
1650711,16,6,11,2024,0,SAN VICENTE,6,6117,LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,-34.413866,-71.185631,Grave,1,Madrugada,2.977
1650712,11,1,11,2024,20,LOS ALAMOS,8,8206,BIOBÍO,LOS ALAMOS,-37.564266,-73.415201,Sin lesionados,0,Noche,11.705
1650713,14,4,11,2024,22,LOS MUERMOS,10,10106,LOS LAGOS,LOS MUERMOS,-41.392875,-73.366138,Sin lesionados,0,Noche,26.819
1650714,14,4,11,2024,21,NATALES,12,12401,MAGALLANES Y DE LA ANTÁRTICA CHILENA,NATALES,-53.098293,-70.881875,Grave,0,Noche,2.819
1650716,16,6,11,2024,21,SAN VICENTE,6,6117,LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,-34.517904,-70.967065,Leve,1,Noche,6.671
1650720,16,6,11,2024,2,PICHIDEGUA,6,6113,LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,-34.433075,-71.135396,Leve,1,Madrugada,5.079
1650722,15,5,11,2024,16,LOS MUERMOS,10,10106,LOS LAGOS,LOS MUERMOS,-41.446664,-73.674994,Sin lesionados,0,Tarde,19.817
1650725,14,4,11,2024,17,LA SERENA,4,4101,COQUIMBO,LA SERENA,-29.645541,-71.298,Leve,0,Tarde,29.596
